title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Wall,The Wall,2016-01-01,73.0,Drama,6.7,12,RAtt.,1800000.0,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julieta,Julieta,2016-01-01,99.0,"Drama,Mystery,Romance",7.1,24556,SPC,1500000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Believe,Believe,2016-01-01,119.0,Drama,5.0,338,ORF,6200000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Believe,Believe,2013-01-01,96.0,"Drama,Sport",5.7,695,ORF,6200000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Call,The Call,2014-01-01,109.0,Thriller,6.6,5,TriS,51900000.0,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Call,Lokroep,2013-01-01,25.0,Documentary,7.9,12,TriS,51900000.0,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Call,The Call,2013-01-01,94.0,"Crime,Drama,Horror",6.7,103780,TriS,51900000.0,2013-01-01,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Veteran,Beterang,2015-01-01,123.0,"Action,Comedy,Crime",7.0,4049,CJ,1200000.0,2015-01-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.O.R.D: Legend of Ravaging Dynasties,Jue ji,2016-01-01,118.0,"Animation,Fantasy",4.9,811,AR,350000.0,2016-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017-01-01,115.0,"Crime,Drama",8.2,344047,FoxS,54500000.0,2017-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanam Teri Kasam,Sanam Teri Kasam,2016-01-01,154.0,"Drama,Musical,Romance",7.3,8246,Eros,22100.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Hostiles,Hostiles,2017-01-01,134.0,"Adventure,Drama,Western",7.2,53286,ENTMP,29800000.0,2017-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hostiles,Hostiles,2015-01-01,74.0,"Drama,Thriller",6.6,17,ENTMP,29800000.0,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Girl Without Hands,La jeune fille sans mains,2016-01-01,76.0,Animation,7.0,842,GK,21800.0,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancer,Dancer,2016-01-01,55.0,Action,8.6,11,IFC,71900.0,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancer,Dancer,2016-01-01,85.0,"Biography,Documentary",7.9,2231,IFC,71900.0,2016-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before We Vanish,Sanpo suru shinryakusha,2017-01-01,129.0,"Drama,Sci-Fi",5.9,1154,Super,52100.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Joy,Joy,2016-01-01,80.0,Drama,7.1,34,Fox,56500000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joy,Joy,2015-01-01,124.0,Drama,6.6,118086,Fox,56500000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joy,Joy,2010-01-01,75.0,Drama,6.1,233,Fox,56500000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joy,Joy,2018-01-01,99.0,Drama,6.5,430,Fox,56500000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallfoot,Smallfoot,2018-01-01,96.0,"Adventure,Animation,Comedy",6.7,23295,WB,83200000.0,2018-01-01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain,Mountain,2017-01-01,74.0,Documentary,7.2,2529,Greenwich,365000.0,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain,Monte,2016-01-01,105.0,Drama,6.2,120,Greenwich,365000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain,Ha'har,2015-01-01,83.0,Drama,6.2,244,Greenwich,365000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Post,The Post,2017-01-01,116.0,"Biography,Drama,History",7.2,108017,Fox,81900000.0,2017-01-01,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thelma,Thelma,2017-01-01,116.0,"Drama,Fantasy,Horror",7.0,20828,Orch.,147000.0,2017-01-01,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
